id,idFinal,replica,Book,Página,Segmento,Atributo,Propuesta,idcod,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8
58,58_LibroBAC.pdf,0,LibroBAC.pdf,22.0,"Como antes explicamos, las ﬁnanzas y los conceptos y prácticas que las sustentan no pueden percibirse independientemente o desligadas del contexto económico y de los conceptos que a la vez lo explican;  por tal razón es que la entrada al libro, además de la comprensión de la educación ﬁnanciera, su  signiﬁcado y sus implicaciones, incluye  también unos conceptos o nociones básicas referentes e indispensables sobre la Economía.","15, 21, 8.4, 5","Como antes explicamos, las finanzas están sustentadas por conceptos y prácticas. Estos aspectos no se pueden desligar del contexto económico ni los conceptos que los explican. Por esto, la entrada al libro incluye nociones básicas referentes e indispensables sobre la Economía. También contiene la comprensión de la educación financiera, su significado y sus implicaciones.",Fiorella,15.0,21.0,8.0,5.0,,,,,
60,60_LibroBAC.pdf,0,LibroBAC.pdf,22.0,"Una vez dirimidos estos asuntos, se entra de lleno a algunos aspectos e instrumentos que son propios de las ﬁnanzas, pero siempre en la óptica de lo personal y lo familiar, ya que para la gestión empresarial, institucional y de país, el tratamiento de los temas exigiría unas consideraciones más especializadas y por ende, de mayor nivel académico.","1, 5, 15, 17, 2, 19","Una vez resueltos estos asuntos, se abordan algunos aspectos e instrumentos propios de las finanzas. Esto siempre desde la perspectiva personal y familiar. Además, el tratamiento de los temas exigiría unas consideraciones más especializadas y un mayor nivel académico para el manejo de la gestión empresarial, institucional y de país.",Fiorella,1.0,5.0,15.0,17.0,2.0,19.0,,,
62,62_LibroBAC.pdf,0,LibroBAC.pdf,23.0,"Pero aquí no termina la utilidad del libro, ya que además de la función anotada, él puede ser fuente también para elaborar otros materiales, impresos o virtuales, destinados a diferentes poblaciones que en algún momento pudieran ser consideradas como destinatarias para ser capacitadas en el campo de las ﬁnanzas personales, familiares e incluso microempresariales, si éstas ingresaran a algún programa de empresarialismo o de emprendimiento.","15, 19, 5, 16, 6","Pero aquí no termina la utilidad del libro, pues este tiene una función anotada y puede ser fuente para elaborar otros materiales  destinados a diferentes poblaciones. Estas personas podrían ser capacitadas en el campo de las finanzas personales, familiares y microempresariales si ingresan a un programá de empresarialismo.",Fiorella,15.0,19.0,5.0,16.0,6.0,,,,
63,63_LibroBAC.pdf,0,LibroBAC.pdf,23.0,"Por lo demás, el libro en sí, termina siendo útil para personas profesionales no especialistas en áreas económicas, ﬁnancieras y contables, para personas empleadas en los sectores públicos y privados y para todas aquellas personas que sientan necesidad e interés por incursionar en el campo de las ﬁnanzas personales y familiares.","5, 15, 6","Por lo demás, el libro es útil para personas profesionales no especialistas en economía, finanzas y contaduría. También es beneficioso para empleados públicos y privados y para quienes sientan necesidad e interés por estudiar las finanzas personales y familiares.",Fiorella,5.0,15.0,6.0,,,,,,
65,65_LibroBAC.pdf,0,LibroBAC.pdf,23.0,Presentar y explicar la estructura programática y los contenidos básicos que deben orientar una capacitación en educación ﬁnanciera para la gestión de la vida personal y familiar sobre el mismo tema.,"12, 1, 5",Se debe presentar y explicar la estructura planeada y los contenidos básicos que orientan una capacitación en educación financiera para la gestión de la vida personal y familiar.,Fiorella,12.0,1.0,5.0,,,,,,
67,67_LibroBAC.pdf,0,LibroBAC.pdf,23.0,Servir de fuente de contenidos básicos de apoyo para estructurar y desarrollar materiales impresos o virtuales destinados a la capacitación en la administración de las ﬁnanzas personales y familiares.,"12, 15",Debe servir de fuente de contenidos básicos que apoyen la estructuración y desarrollo de materiales impresos o virtuales. Dichas herramientas serían destinadas a la capacitación en la administración de las finanzas personales y familiares.,Fiorella,12.0,15.0,,,,,,,
69,69_LibroBAC.pdf,0,LibroBAC.pdf,23.0,"Servir de documento de lectura y consulta sobre el tema de la administración de las ﬁnanzas personales y familiares a profesionales no especialistas en economía, ﬁnanzas o contaduría, a personas empleadas del sector público y privado y a todas aquellas personas que tengan necesidad e interés de conocer sobre el tema.","15, 12, 6, 5","Debe servir como documento de lectura y consulta sobre la administración de las finanzas personales y familiares. Este será destinado a personas profesionales no especialistas en economía, finanzas o contaduría, a empleados públicos y privados y para quienes sientan necesidad e interés de conocer sobre el tema.",Fiorella,15.0,12.0,6.0,5.0,,,,,
74,74_LibroBAC.pdf,0,LibroBAC.pdf,24.0,"Luego de haber obtenido la anterior información y haber hecho acopio de las fuentes bibliográﬁcas y virtuales respectivas, el equipo procedió a realizar la redacción o construcción del libro.","19, 5, 6, 1",El equipo realizó la redacción del libro luego de obtener la información anterior y reunir las fuentes bibliográficas y virtuales respectivas.,Fiorella,19.0,5.0,6.0,1.0,,,,,
75,75_LibroBAC.pdf,0,LibroBAC.pdf,24.0,"Una vez realizadas las anteriores actividades, se sometió el mismo a un proceso de validación de su estructura, contenidos y pertinencia y además de sus aspectos ﬁlológicos, por parte de un equipo de especialistas, también interdisciplinario, que se gestionó para tal ﬁn.","15, 19, 5","Tras realizar las actividades anteriores, un equipo interdiciplinario de especialistas validó su estructura, contenidos, pertinencia y aspectos filológicos.",Fiorella,15.0,19.0,5.0,,,,,,
76,76_LibroBAC.pdf,0,LibroBAC.pdf,24.0,"Realizada la validación y los ajustes del libro que ella generó, se realizó el diseño editorial y se procedió a la impresión del mismo.","19, 6",Se realizó el diseño editorial y se imprimió el libro después de validarlo y hacer ajustes.,Fiorella,19.0,6.0,,,,,,,
