id,original,simplified
1,"Álex de la Iglesia , Premio Nacional de Cine "," Álex de la Iglesia , Premio Nacional de Cine "
2,"Álex de la Iglesia , Premio Nacional de Cine ", Álex de la Iglesia gana el Premio Nacional de Cine . 
3,"El realizador y presidente de la Academia de Cine Álex de la Iglesia fue galardonado con el Premio Nacional de la Cinematografía , que concede el Ministerio de Cultura , "" por su incuestionable trayectoria profesional innovadora y transgresora , que ha enriquecido el lenguaje de nuestro cine "" . ", Álex de la Iglesia es director de cine y presidente de la Real Academia de cine .  El Ministerio de Cultura le ha dado el Premio Nacional de Cine .  El Ministerio le ha dado el premio por su carrera profesional .  También le ha dado el premio por hacer un cine original y por su buen trabajo en la Academia de Cine . 
4,"El Premio de la Cinematografía y de las Artes Audiovisuales está destinado a recompensar la aportación más sobresaliente en el ámbito cinematográfico español puesta de manifiesto a través de una obra hecha pública durante 2009 , o de una labor profesional desarrollada durante ese mismo año . ", El Premio Nacional de Cine se da a la mejor película o trabajo de el año 2009 . 
5,ABRE EN MADRID SU PRIMERA SUCURSAL EL MAYOR BANCO DE CHINA Y DEL MUNDO., El banco más importante de China y del mundo abre una oficina en Madrid.  El Banco Industrial y Comercial de China es el banco más grande e importante del mundo. 
6,"El ministro de Industria, Turismo y Comercio, Miguel Sebastián, asistió en el Círculo de Bellas Artes a la inauguración de la primera sucursal en España del Industrial and Comercial Bank of China (ICBC), el banco más grande del mundo en capitalización bursátil. ", El ministro de Industria asistió a la apertura de la primera oficina en Madrid de este banco. 
7,"Acompañó al ministro, que acudió en representación del Gobierno español, el presidente y director ejecutivo del banco, Jianqing Jiang, quien ejerció de anfitrión de las distintas personalidades que de los ámbitos político y financiero, tanto de España como de China, asistieron a este acto."," El presidente y director del Banco en China, Jianqing Jiang,  acompañó al ministro de Industria durante la apertura de la oficina de Madrid.  También asistieron a este acto otras personas de la política y la economía española. "
8,"El ICBC ha abierto ya 203 sucursales en un total de 28 países de todo el mundo, también en España desde este lunes."," El Banco de China tiene oficinas en muchos países del mundo.  Ahora, también tiene una oficina en España. "
9,"La sucursal, que ocupa una superficie de 1.100 metros cuadrados, se ubica en el número 3 del Paseo de Recoletos de Madrid.", La oficina del Banco de China en Madrid está en el Paseo de Recoletos.
10,"EL MEDIO AMBIENTE FINALIZA 2010 EN PEOR SITUACIÓN QUE EN 2009, SEGÚN LOS ECOLOGISTAS.", El medio ambiente español está peor en 2010 que en 2009. 
11,"El medio ambiente español finalizó el año 2010 en peor situación que en 2009, pese a que se han registrado ""avances"" y a que las Naciones Unidas lo declararon Año Internacional de la Biodiversidad. ", También ha dicho que el Gobierno español ha tenido algunos éxitos sobre sobre la situación del medio ambiente.
12,"Así opina la Sociedad Española de Ornitología/BirdLife, que ha analizado las 10 acciones más importantes registradas tanto a favor como en contra de la biodiversidad de España durante 2010.", La Sociedad Española de Ornitología ha analizado las actividades en el medio ambiente de España durante el año 2010.
13,"Opina que, ""pese a los avances conseguidos"", el balance de esta organización es ""negativo"", al considerar que ""la naturaleza española está en peor situación a finales de 2010 que a finales de 2009"".", Esta Sociedad ha dicho que el medio ambiente español está peor en 2010 que en 2009.
14,"Entre los principales ""éxitos"" obtenidos, valora cómo el Gobierno español ""ha defendido posturas ambiciosas"" en las cumbres de Nagoya (Convenio de Diversidad Biológica) y Cancún (Cumbre del Clima), ""que propiciaron mejores acuerdos que favorecerán a la biodiversidad"", y la prohibición en 2010 de las capturas de fringílidos (jilgueros, verderones, verdecillo y pardillos) en Cataluña.", Uno de los éxitos ha sido un acuerdo internacional que ayuda a cuidar el medio ambiente. Otro éxito ha sido prohibir la caza de algunas especies de pájaros en Cataluña.
15,Alex de la Iglesia dimitirá como presidente de la Academia de Cine , Alex de la Iglesia dimitirá como presidente de la Academia de Cine 
16,Alex de la Iglesia dimitirá como presidente de la Academia de Cine , El director de cine Alex de la Iglesia deja la presidencia de la Academia de Cine . 
17,El director Alex de la Iglesia presentará su dimisión como presidente de la Academia de Cine tras la próxima gala de los Goya de el próximo 13 de febrero . , Alex de la Iglesia dejará la presidencia de la Academia de Cine después de los Goya . 
18,"Lo anuncia en un artículo publicado en la edición digital de "" El País "" , en el que no vincula claramente su salida con su desacuerdo respecto a la "" Ley Sinde "" , algo que sí ha sugerido en su página en Twitter . ", Alex de la Iglesia anunció su decisión en un artículo de el periódico El País .  En su página web ha explicado que deja la Academia de Cine por no estar de acuerdo con la Ley Sinde . 
19,"ACUSAN A LAS AUTORIDADES DE ESTADOS UNIDOS DE PROPOCIONAR UN TRATO INHUMANO a el soldado acusado de filtrar""cables"""," ACUSAN A LAS AUTORIDADES DE ESTADOS UNIDOS DE PROPOCIONAR UN TRATO INHUMANO a el soldado acusado de filtrar""cables"""
20,"ACUSAN A LAS AUTORIDADES DE ESTADOS UNIDOS DE PROPOCIONAR UN TRATO INHUMANO a el soldado acusado de filtrar""cables""", Estados Unidos trata muy mal a un soldado detenido .
21,"Amnistía Internacional acusó a las autoridades estadounidenses de proporcionar un""trato inhumano""a Bradley Manning , un soldado acusado de filtrar""cables""de la diplomacia norteamericana a el portal Wikileaks .", El soldado se llama Bradley Manning . Estados Unidos cree que Bradley Manning ha dado información a Wikileaks . Bradley Manning está detenido por dar información de el gobierno de Estados Unidos a Wikileaks .
22,"Según Amnistía , este soldado , de 23 años , permanece en una celda de aislamiento durante 23 horas a el día con pocos muebles y privado de almohada , sábanas y objetos personales desde julio .", Bradley Manning está en una celda vacía durante 23 horas a el día .
23,"Amnistía subrayó que Manning se encuentra detenido en""custodia máxima"", pese a carecer de antecedentes por violencia o infracciones disciplinarias durante la detención , lo que significa que está atado de pies y manos durante todas las visitas y se le niega la oportunidad de trabajar y salir de su celda ."," Sin embargo , Bradley Manning está atado durante las visitas . Tampoco puede trabajar ni salir de su celda . Bradley Manning ha tenido un buen comportamiento en la cárcel ."
24,"BALEARES CIERRA 2010 CON DATOS TURÍSTICOS POSITIVOS, PESE A LA CRISIS."," A pesar de la crisis, las Islas Baleares tienen datos positivos de turismo en 2010. "
25,"El presidente del Gobierno balear, Francesc Antich, y la consejera de Turismo y Trabajo, Joana Barceló, informaron de que Baleares cerró 2010 con unos datos turísticos positivos, a pesar de la crisis, incluyendo la creación de empleo en este sector. "," El presidente del Gobierno de las Islas Baleares y la responsable de Turismo informan de que los datos sobre el turismo de 2010 son positivos.  A pesar de la crisis, se ha creado empleo relacionado con el turismo en las Islas. "
26,El balance turístico de 2010 muestra dos velocidades: , El estudio sobre el turismo de las Islas Baleares en 2010 tiene dos resultados diferentes: 
27,"un primer semestre del año dejó cifras negativas, que se explican por fenómenos externos como la nube volcánica."," En los primeros 6 meses del año, los datos sobre el turismo eran negativos.  Estos datos se se explican por la nube volcánica. "
28,"Y un segundo semestre, iniciado con la temporada turística, que supuso un cambio de tendencia que se tradujeron en crecimientos importantes especialmente en el turismo internacional."," Con el verano, la situación del turismo de las Islas cambió.  Muchos turistas extranjeros visitaron las Islas  Baleares y, por eso, los datos sobre turismo al final del año 2010 son positivos. "
29,"2011, AÑO INTERNACIONAL DE LA QUÍMICA.", El 2011 es el Año Internacional de la Química.
30,"La ONU celebra en 2011 el Año Internacional de la Química para fomentar el interés de los jóvenes por esta ciencia y mostrar cómo, gracias a ella, se puede ""responder a las necesidades del mundo"". ", En 2011 se celebra el Año Internacional de la Química.
31,"Sus principales objetivos serán ""aumentar la concienciación y comprensión por parte del gran público de cómo la química puede responder a las necesidades del mundo"", fomentar su interés entre los jóvenes y celebrar las contribuciones de las mujeres a este campo.", Se celebra para: mostrar cómo la química puede ayudar al mundo. interesar a los jóvenes por la química. celebrar el trabajo de las mujeres en esta ciencia.
32,"También se conmemorarán los principales hitos históricos de la química y, especialmente, el primer centenario de la concesión del Premio Nobel a Marie Curie y de la creación de la Asociación Internacional de Sociedades Químicas.", celebrar los momentos importantes de la historia de la química.
33,"ANA JUAN, PREMIO NACIONAL DE ILUSTRACIÓN.", Ana Juan gana el Premio Nacional de Ilustración.
34,"Ana Juan fue galardonada con el Premio Nacional de Ilustración correspondiente a 2010, por el conjunto de su obra. ", Ana Juan gana el Premio Nacional de Ilustración de 2010.
35,El Ministerio de Cultura concede este galardón con el objetivo de reconocer y distinguir el conjunto de la labor realizada por un ilustrador español en el ámbito del libro y la literatura., El Ministerio de Cultura da este premio a los ilustradores españoles.
36,"Licenciada en Bellas Artes por la Universidad Politécnica de Valencia, Ana Juan es ilustradora, escritora y pintora."," Ana Juan es ilustradora, escritora y pintora. Estudió Bellas Artes en la universidad de Valencia."
37,"Ha colaborado en numerosas  revistas  y ha expuesto su obra en ciudades como Ginebra, Madrid, Sevilla, Nueva York, Valencia y Barcelona, entre otras."," Ana Juan trabajó en muchas revistas. También hizo exposiciones de sus ilustraciones en Madrid, Sevilla, Valencia, Nueva York y Barcelona."
38,Amnistía denuncia que 700 crímenes de guerra en Croacia en la guerra de los Balcanes siguen sin resolver, Amnistía denuncia que 700 crímenes de guerra en Croacia en la guerra de los Balcanes siguen sin resolver
39,Amnistía denuncia que 700 crímenes de guerra en Croacia en la guerra de los Balcanes siguen sin resolver," 700 crímenes de esta guerra de Croacia están sin resolver , según ha dicho Amnistía Internacional . 700 crímenes de la guerra de Croacia están sin resolver ."
40,Amnistía Internacional exigió a las autoridades de Croacia que aceleren el procesamiento de presuntos autores de casi 700 crímenes de guerra cometidos durante la guerra de los Balcanes entre 1991 y 1995 y que continúan pendientes de enjuiciamiento ., La guerra en Croacia sucedió entre los años 1991 y 1995 .
41,"En un informe titulado""Detrás de el muro de silencio : persecución de crímenes de guerra en Croacia"", la organización no gubernamental muestra la""incapacidad""de Croacia para""hacer justicia""a muchas de las víctimas de la guerra , ya que abundan""continuos retrasos , amenazas a testigos e incumplimiento de las normas internacionales""."," Amnistía Internacional ha dicho que los crímenes están sin resolver porque Croacia es incapaz de hacer justicia . Además , en Croacia no se cumplen las normas internacionales ."
42,"Amnistía subrayó que , según las estadísticas de el Gobierno croata , cada año se cierran una media de 18 casos de crímenes de guerra , pero quedan pendientes de resolver casi 700 y""puede que la mayor parte de los responsables nunca tengan que enfrentar se a un juicio""."," Por esto , Amnistía Internacional dice que muchos criminales nunca irán a juicio ."
43,CAE UNA BANDA QUE USABA TAPAS DE ALCANTARILLAS PARA ROMPER ESCAPARATES Y ROBAR., La Guardia Civil detiene a cuatro personas que utilizaban tapas de alcantarillas para robar. 
44,"Agentes de la Guardia Civil de Villaviciosa de Odón (Madrid) han detenido a cuatro personas que utilizaban tapas de alcantarillas para romper las lunas de los establecimientos que posteriormente desvalijaban, según informa el Instituto Armado. ", La Guardia Civil detiene a cuatro personas que utilizaban tapas de alcantarillas para romper los cristales de las tiendas y robar.  Los detenidos cogían las tapas de las alcantarillas y rompían los cristales de las tiendas para entrar y robar. 
45,"Ante las similitudes detectadas entre varias denuncias recogidas por la Guardia Civil en la zona suroeste de la Comunidad de Madrid, los agentes decidieron la apertura de la denominada operación ""Alcantarilla"" durante el pasado mes de junio."," La Guardia Civil recibió denuncias similares sobre robos similares en Madrid y pensó que todos los robos los hacía el mismo grupo de personas.  Así, la Guardia Civil abrió la operación llamada Alcantarilla y comenzó a buscar a los detenidos en junio."
46,"En los casos analizados, la totalidad de los robos denunciados se habían producido en establecimientos de hostelería y perfumerías mediante la rotura de ventanas, cerramientos o escaparates con el uso de una tapa de alcantarilla o registro."," Los robos siempre eran en bares o en tiendas.  Para entrar, siempre utilizaban una tapa de alcantarilla y rompían el cristal."
47,"ACTORES CON DISCAPACIDAD ESTRENAN EN MADRID ""COCKTAIL"", UN BRINDIS POR LA DIFERENCIA.", Actores con y sin discapacidad representan en Madrid la obra Cocktail.
48,"Un total de once actores con y sin discapacidad representan en Madrid ""Cocktail"", un brindis por la diferencia que mira a las necesidades del otro, dirigido por Patricia Ruiz y David Ojeda. ", Once actores con y sin discapacidad representan en Madrid la obra Cocktail. La obra de teatro Cocktail trata sobre las diferencias y las necesidades de las personas.
49,"La representación, que tendrá lugar en la Casa Encendida de Madrid a partir de las 22.00 horas del sábado 18 y del domingo 19 de septiembre, es el resultado de un taller de creación escénica y discapacidad que impartieron Ruiz y Ojeda el año pasado en el centro social y cultural de Caja Madrid.", La obra se representa en la Casa Encendida de Madrid. La obra es el resultado de un curso de teatro y discapacidad de la Casa Encendida.
50,"Todo empezó como una experiencia entre actores y personas con discapacidad o relacionadas con ella y con contactos previos también con el mundo artístico, que concluyó de forma ""muy positiva"" y que por ello han convertido su trabajo en una propuesta profesional que quiere llegar ""hasta donde sea"".", En este curso participaban actores y personas con discapacidad a las que les gusta el arte y el teatro.
51,"Así lo explicó este viernes a los medios Ojeda, quien indicó que ""Cocktail"" es una ""performance"" que quiere incorporar a la escena las diferencias y peculiaridades de cada actor, válidas todas ellas.", La obra Cocktail quiere ser una representación que incluya las diferencias y las características de cada actor.
52,"Ana María Matute , Premio Cervantes "," Ana María Matute , Premio Cervantes "
53,"La escritora y académica Ana María Matute obtuvo el Premio Cervantes 2010 , el mayor galardón de las letras españolas , que concede el Ministerio de Cultura con una dotación de 125.000 euros . ", La escritora Ana María Matute gana el Premio Cervantes de el año 2010 .  El Premio Cervantes es el premio más importante de la literatura en español . 
54,"Matute ( Barcelona , 1926 ) figuraba en las quinielas como la principal aspirante de este año a el Cervantes , y se confirma la ley no escrita de alternancia en la consecución de el premio entre un escritor de Hispanoamérica y otro de España , después de que el año pasado lo obtuviera el autor mexicano José Emilio Pacheco . ", El escritor mexicano Emilio Pacheco ganó el premio el año pasado . 
55,"Es la tercera mujer que gana el Cervantes , después de la española María Zambrano ( 1988 ) y la cubana Dulce María Loynaz ( 1992 ) . ", Ana María Matute es la tercera mujer que gana el Premio Cervantes . 
56,"Ana María Matute ha sido premiada anteriormente con el Nacional de Literatura Infantil ( "" Sólo un pie descalzo "" , 1987 ) y el Premio Nacional de las Letras Españolas ( 2007 ) . ", Ana María Matute ha ganado otros muchos premios . 
57,"La autora de "" Olvidado rey Gudú "" se convirtió en 1996 en la tercera mujer que ingresa en la Real Academia Española . ", Ana María Matute es académica en la Real Academia Española de la Lengua . 
58,Amnistía denuncia que el Gobierno egipcio ha detenido a 150 opositores antes de las elecciones, Amnistía denuncia que el Gobierno egipcio ha detenido a 150 opositores antes de las elecciones
59,Amnistía denuncia que el Gobierno egipcio ha detenido a 150 opositores antes de las elecciones, El Gobierno de Egipto detiene a personas de el partido de la oposición antes de las elecciones . La organización Amnistía Internacional ha denunciado que el Gobierno egipcio ha detenido a 150 personas de la oposición .
60,"Según Amnistía , esta campaña de represión comenzó desde que el presidente de Hermandad Musulmana , Mohamed Badie , anunciara el pasado 9 de de octubre que este grupo se presentaría a los comicios parlamentarios .", El Gobierno de Egipto ha detenido a estas personas de la oposición porque se presentaban a las elecciones .
61,"El director de el Programa Regional de Amnistía Internacional para Oriente Medio y Norte de África , Malcolm Smart , subrayó que ,""aparentemente , los han detenido por la única razón de su relación con la organización Hermandad Musulmana .", Amnistía Internacional ha dicho que han detenido a estas personas solo por ser de la organización Hermandad Musulmana .
